trial_len1,trial_len2,reach_diff,peak_velRight,peak_velLeft,vel_inxR,vel_inxL,mo_timeR,mo_timeL,peakAccR,peakAccL,acc_inxR,acc_inxL,firsthand,Participant
1371,2974,1603,0.46592413,1.405269901,1252,1110,1,377,2.353860302,13.07943256,1428,1712,Right reached,2
1074,2181,1107,0.398560584,0.755012154,918,1331,1,1,2.211393242,3.747165432,401,390,Right reached,2
1408,2658,1250,0.5973302,1.110993693,2620,459,128,1,5.214582821,9.831386099,2265,1519,Left reached,2
1725,2086,361,0.598573108,0.981884289,1541,984,249,1,2.631350101,5.392329445,1,1282,Left reached,2
624,1365,741,0.976169999,1.088007434,809,492,100,243,5.501923263,7.256380945,680,364,Left reached,2
993,1558,565,0.427158316,0.851591668,845,1060,1,285,3.589776547,4.390979565,1,1403,Right reached,2
1422,2500,1078,0.789144431,1.11970679,538,504,239,62,4.408636893,8.730587064,393,1554,Left reached,2
827,2177,1350,0.698859214,1.194569271,1196,670,449,27,3.808936887,8.932011603,1524,776,Left reached,2
1443,2024,581,0.640708866,0.771503437,1067,1235,309,28,1.667016994,4.482061609,1292,1,Right reached,2
923,1035,112,0.741164088,1.218865465,444,727,242,21,5.426333755,6.94438446,329,325,Right reached,2
2006,2375,369,1.038702587,0.899854464,564,1199,23,168,7.477956477,3.031511258,660,1419,Left reached,2
1719,2188,469,0.733248668,1.30303449,1386,1062,583,1,3.427597215,10.45936482,876,44,Right reached,2
860,1331,471,0.675905005,0.729472051,549,501,55,19,3.678865341,4.513696314,1251,324,Left reached,2
977,1463,486,0.378453435,1.140541395,728,509,1,51,3.20352585,7.895422336,1,377,Right reached,2
904,1396,492,0.680988236,0.626462255,1085,694,299,276,4.307892761,2.373417067,1,341,Left reached,2
1412,1587,175,0.540130047,1.045412616,1065,1291,1,372,2.429923636,4.619953216,458,1353,Left reached,2
1430,1881,451,1.441531378,1.696039637,701,739,1,120,7.100319579,10.34125952,1008,941,Left reached,2
1441,2196,755,0.862512109,1.454442264,522,937,289,1,5.351331347,14.25505608,406,1064,Left reached,2
1332,1360,28,0.739904482,1.220920068,1051,711,1,367,3.583701357,7.132674687,1,550,Left reached,2
860,2091,1231,0.72292015,0.6710558,1075,761,242,1,3.813074968,3.434348046,1319,353,Left reached,2
1388,1605,217,0.955668615,0.948256303,554,1169,1,44,8.482625159,4.354355067,664,1415,Left reached,2
820,1005,185,0.489603249,1.382971171,685,504,272,1,2.921561267,8.589918982,330,359,Right reached,2
1193,3011,1818,0.907241635,0.991060096,918,587,363,1,3.138031121,7.151537262,1236,732,Left reached,2
768,1411,643,1.028395971,0.813952289,524,561,1,240,6.865780013,6.072816291,379,682,Left reached,2
707,1179,472,0.900535317,0.823378397,528,532,23,52,5.393789242,4.899641974,419,381,Left reached,2
1117,1406,289,0.639888058,1.40462241,947,550,1,340,4.655990598,11.43928963,1,1108,Left reached,2
869,2153,1284,0.537053938,1.096829109,751,1091,374,1,2.440906668,5.992495402,460,1536,Right reached,2
998,2145,1147,1.087816312,1.611248201,604,664,1,345,6.969208131,8.589034678,822,436,Right reached,2
1140,1165,25,1.204032387,1.693920397,620,614,317,267,5.704612361,8.532349327,427,380,Right reached,2
1963,2069,106,0.403120861,0.702695733,1117,1362,1,79,1.661290601,12.54633561,395,1819,Right reached,2
1150,1955,805,0.497206596,0.843093005,475,912,1,47,3.476268938,5.714775134,362,1479,Right reached,2
1032,2050,1018,0.725279812,0.733079651,595,2005,344,1,6.090711431,6.597948919,1183,1874,Right reached,2
961,1647,686,1.481194961,1.517932071,649,608,316,1,8.695201581,13.67529093,861,792,Left reached,2
1226,1547,321,0.773295424,0.63367927,561,795,316,1,4.578435506,4.684755806,411,960,Left reached,2
1310,1672,362,0.650818129,0.609095393,492,441,1,1,3.859291765,4.262392097,332,328,Left reached,2
1850,1951,101,1.276629704,1.028072442,1192,1569,1,410,8.257523395,4.167743153,1003,987,Left reached,2
1226,1824,598,1.436860881,1.981906298,597,578,1,17,10.1159601,16.56073788,815,813,Left reached,2
1387,1677,290,0.971901949,1.235141017,502,429,29,1,6.027702172,10.07909885,362,325,Left reached,2
975,1438,463,1.525255275,1.340183428,740,691,419,1,8.636927811,12.14278846,1021,817,Left reached,2
1075,1134,59,1.044539629,0.972070208,588,560,33,1,6.215603176,6.537012781,421,418,Left reached,2
846,2051,1205,0.474026773,0.879897299,745,469,229,1,1.739135253,8.420625059,278,1444,Right reached,2
2434,3098,664,0.705100269,1.295228553,987,1006,402,36,2.456147677,23.90710234,1385,1566,Right reached,2
1693,3299,1606,0.631318039,0.865274906,539,505,272,1,3.725433851,5.134970844,2478,385,Left reached,2
785,2864,2079,0.71432972,0.873945898,572,1882,1,1,4.416483853,7.215839126,434,2041,Right reached,2
691,1524,833,0.727950187,0.862168742,615,1144,37,1,8.049477021,3.731029025,798,1232,Right reached,2
